Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches
427,431,BI-10,adhvajanya-rAjayakShmA/SoSha,vyāyāmajanyarājayakṣmā,व्यायामजन्यराजयक्ष्मा,,"the disorder is characterized by urōruk [pain in the chest], śōṇitacchardiḥ [haematemesis], vaiśēṣikaḥ kāsaḥ [typical type of or excessive cough], saraktamūtratvam [haematuria], pārśvagrahaḥ [stiffness in sides of chest], pr̥ṣṭhagrahaḥ [stiffness of back], kaṭigrahaḥ [stiffness of the lumbar region/lowback], uraḥkṣataliṅgāni (kṣatādvinā) [clinical features of traumatic chest/pulmonary trauma (consumption) without injury]",
428,432,BI-11,vraNajanyarAjayakShmA,adhvajanya-rājayakṣmā/śōṣa,अध्वजन्य-राजयक्ष्मा/शोष,,"the disorder is characterized by srastāṅgaḥ [flaccidity/laxity], saṁbhr̥ṣṭaparuṣacchaviḥ [fading colour], prasuptagātrāvayavaḥ [numbness of limbs], śuṣkaklōmagalānanaḥ [dryness of klōma, throat, face]",
429,433,BI-12,uraHkShatajanyarAjayakShmA,vraṇajanyarājayakṣmā,व्रणजन्यराजयक्ष्मा,,"the disorder is characterized by raktakṣayaḥ [diminution of rakta], vēdanā [pain]",
430,434,BI-13,vAtikarAjayakShmA,uraḥkṣatajanyarājayakṣmā,उरःक्षतजन्यराजयक्ष्मा,,"the disorder is characterized by urasi kṣatē raktaṁ gacchati [blood discharge from traumatic chest/pulmonary trauma], urasi kṣatē pūyaḥ gacchati [pus discharge from traumatic chest /pulmonary trauma], urasi kṣatē ślēṣmā gacchati [mucus discharge from traumatic chest/pulmonary trauma], kāsamānaśchardayēt pītam [yellowish expectoration while coughing], kāsamānaśchardayēt raktam [expectoration of blood while coughing], kāsamānaśchardayēt asitam [blackish expectorant while coughing], kāsamānaśchardayēt aruṇam [reddish brown coloured expectorant while coughing], santaptavakṣāḥ [chest is felt to be warm/hot], atyarthaṁ dūyanātparitāmyati [faints due to exessive pain], durgandhavadanaḥ [foul odour from mouth/hallitosis], durgandhōcchvāsaḥ [foul odour emitted from breath], bhinnavarṇaḥ [altered colour/complexion of body], bhinnasvaraḥ [hoarseness of voice]",
431,435,BI-14,paittikarAjayakShmA,vātikarājayakṣmā,वातिकराजयक्ष्मा,,"the disorder is characterized by svarabhēdaḥ [hoarseness of voice/any defect in speaking], aṁsayōḥ śūlam [pain in shoulders], pārśvayōḥ śūlam [pain in sides of chest/flanks], aṁsayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of shoulders], pārśvayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of flanks], śiraḥśūlam [headache], aṁsamardanam [crushing type of pain in shoulders], aṅgamardaḥ [generalised bodyache], kaṇṭhōddhvaṁśaḥ [hoarseness of voice], svarabhraṁśaḥ [altered voice]",
432,436,BI-15,kaPajarAjayakShmA,paittikarājayakṣmā,पैत्तिकराजयक्ष्मा,,"the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], raktasya āgamaḥ/asr̥kcchardiḥ [haemoptysis], atisāraḥ [diarrhoea], pādadāhaḥ [burning in feet], aṁsadāhaḥ [burning in shoulders], pāṇidāhaḥ [burning in palms], mukhagandhaḥ [bad smell of the mouth], madaḥ [intoxication]",
433,437,BI-16,yakShmajajvaraH,kaphajarājayakṣmā,कफजराजयक्ष्मा,,"the disorder is characterized by chardiḥ [vomiting], mūrdhagauravam [heaviness of head], aṅgagauravam [heaviness in the body], prasēkaḥ [excessive salivation], pīnasaḥ [cold, catarrh], śvāsaḥ [breathlessness/difficult breathing], svarasādaḥ [loss of voice], alpavahnitā [diminution of agni/reduced digestive power]",
434,438,BI-17,yakShmajaSiraHSUlaH,yakṣmajajvaraḥ,यक्ष्मजज्वरः,,,
435,439,BI-18,asAdhya-rAjayakShmA/asAdhyaSoSha,yakṣmajaśiraḥśūlaḥ,यक्ष्मजशिरःशूलः,,,
436,440,BI-19,cikitsya-rAjayakShmA,asādhya-rājayakṣmā/asādhyaśōṣa,असाध्य-राजयक्ष्मा/असाध्यशोष,,"the disorder is characterized by mahāśanam [eats more quantity food], kṣīyamāṇam [debilitated], atisāranipīḍitam [afflicted with diarrhoea], śūnamuṣkam [swelling of scrotum], śūnōdaram [enlargement/swelling of abdomen], śuklākṣam [whitish discolouration of eyes], annadvēṣṭāram [person having aversion towards food], ūrdhvaśvāsanipīḍitam [afflicted with shortness of breathing], kr̥cchrēṇa bahumēhantam [polyuria with dysuria]",
437,441,BI-20,rAjayakShmA-upadravaH,cikitsya-rājayakṣmā,चिकित्स्य-राजयक्ष्मा,,"the disorder is characterized by jvarānubandharahitam [not associated with fever], balavantam [having physical strength], kriyāsaham [able to do activities/ableto sustain treatment procedures], ātmavantam [self control], dīptāgnim [having agni well kindled i.e. digesting well], akr̥śam [not emaciated]",
438,442,BI-21,yakShmA-ariShTaH,rājayakṣmā-upadravaḥ,राजयक्ष्मा-उपद्रवः,,"the disorder is characterized by kaṇṭhōddhvaṁsaḥ [hoarseness of voice], urōrujam [pain in the chest], jr̥mbhā [yawning], aṅgamardaḥ [generalised bodyache], niṣṭhīvaḥ [expectoration of sputum/spitting], vahnisādaḥ [diminution of agni], āsyapūtitā [putridness of mouth]",
439,443,BI-22,atikArSyam,yakṣmā-ariṣṭaḥ,यक्ष्मा-अरिष्टः,,"the disorder is characterized by aṁsābhitāpaḥ/aṁsatāpaḥ [burning sensation in shoulders/scapula], hikkā [hiccup], śōṇitacchardiḥ/raktacchardiḥ [vomiting of blood], ānāhaḥ [barborygmus with distention], pārśvarujā/pārśvaśūlam [pain in sides of chest/flanks]",
440,444,BJ,malavaiShamyam,atikārśyam,अतिकार्श्यम्,,,
441,445,C,mUtravaiShamyam,malavaiṣamyam,मलवैषम्यम्,,,
442,446,CA,mUtrakShayaH,mūtravaiṣamyam,मूत्रवैषम्यम्,,,
443,447,SR83 (CA-1),mUtravRuddhiH,mūtrakṣayaḥ,मूत्रक्षयः,,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",
444,448,SR82(CA-2),purIShavaiShamyam,(a) mūtravṛddhiḥ,मूत्रवृद्धिः,,"It is characterized by frequent micturition, pricking pain in urinary bladder, abdominal distension, feeling of urge even after micturition. This may be explained by abnormal increase in urine production resulting in local and systemic manifestations.",
445,449,CB,purIShakShayaH,,पुरीषवैषम्यम्,,,
446,450,SR81 (CB-1),purIShavRuddhiH,(a) purīṣakṣayaḥ,पुरीषक्षयः,,"It is characterized by gripping type of pain (colic), pain in the pericardial region, angina pectoris, pain in flanks, reverse intestinal movement of vāta associated with sound, oblique movement of vāta with sound in abdomen, increased bowel movements in flanks, less quantity of faeces. This may be explained by abnormal decrease in fecal production resulting in local and systemic manifestations.",
447,451,SR80(CB-2),sAmamalaH,(a) purīṣavṛddhiḥ,पुरीषवृद्धिः,,"It is characterized by gurgling sound in flanks, heaviness and enlargement of abdomen. Gurgling sound in flanks to be changed to gurgling sounds in abdomen. This may be explained by abnormal accumulation of feces resulting in local and systemic manifestations.",
448,452,SR86(CB-3),svedavaiShamyam,(a) sāmamalaḥ,साममलः,,"It is characterized by obstruction in channels, diminution of physical strength, heaviness, lethargy, indigestion, spitting out, obstruction to passage of faeces, tastelessness and exhaustion without exertion. This may be explained by consequences incompletely formed stools due to diminished digestive fire.",
449,453,CC,svedakShayaH,,स्वेदवैषम्यम्,,,
450,454,SR85(CC-1),svedavRuddhiH,(a) svedakṣayaḥ,स्वेदक्षयः,,"It is characterized by stiff, rigid body hairs, wasting, contracture of skin, impaired touch perception, loss of perspiration, hair fall, tearing, cracking of skin, numbness of skin, hardness, roughness of skin. This may be explained by abnormal decrease in sweat production resulting in local and systemic manifestations.",
451,455,CZ-1,jihvAmUlagatamalaH,,जिह्वामूलगतमलः,,,
452,457,SS10(D),agnivaiShamyam,(a) agnivaiṣamyam,अग्निवैषम्यम्,,It is characterized by derangement of digestive power. This may be explained by vitiation of digestive fire in turn resulting in local and systemic effects.,
453,458,SS15(DA),AmadoShaH,(a) āmadoṣaḥ                         (a) āmavasthā,आमदोषः,,"It is characterized by reduced body strength, heaviness of the body, reduced digestive power, lethargy, indigestion, expectoration, tastelessness, feeling of weakness even without exertion. This may be explained by vitiation of digestive fire in turn resulting incomplete digestion or metabolism resulting in a suspended state of physiological processes and consequent pathologies.",
454,461,DA-1,asAdhya-AmadoShaH,,असाध्य-आमदोषः,,,
455,462,DB,jaTharAgnivikAraH,,जठराग्निविकारः,,,
456,463,DB-1,mandAgniH/ agnisAda,,मन्दाग्निः/ अग्निसाद,,,Note: Also Classifed under #san@SoNitajanyarogaH#[ED-2]
457,464,SS13(DB-1.1),mandAgni-ariShTaH,"(a) mandāgniḥ,                          (a) agnisādaḥ",मन्दाग्नि-अरिष्टः,,It is characterized by delayed digestion of food. This may be explained by vitiation of digestive fire in turn resulting delaying digestion and metabolism.,
458,465,SS11(DB-2),viShamAgniH,(a) viṣamāgniḥ,विषमाग्निः,,It is characterized by irregular digestion irrespective of quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting in erratic behavour of digestive system.,
459,466,SS12(DB-3),tIkShNAgniH,(a) tīkṣṇāgniḥ,तीक्ष्णाग्निः,,It is characterized by quick digestion of varied quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting quickening digestion and metabolism.,
460,467,SS14(DB-4),atyagniH/BasmakaH,"(a) atyagniḥ,                            (a) bhasmakaḥ",अत्यग्निः/भस्मकः,,"It is characterized by severly increased state of digestive power leading to quick digestion of food despite of frequent and extra quantity intake. If food is not taken, leads to digestion of body tissues leading to weakness, succumbs to death, may be associated with thirst, difficulty in breathing, burning sensation, syncope, burning sensation in throat, palate, lips at the end of digestion. This may be explained by morbid increase of the digestive fire resulting accelerated metabolism to the extent that the tissues are also get affected.",
461,468,SR5Z€,srotovaiShamyam,(a) srotovaiṣamyam,स्रोतोवैषम्यम्,,,
462,469,EA,prANavahasrotovikAraH,,प्राणवहस्रोतोविकारः,,,
463,470,SR57(EA-1),prANavahasrotoduShTiH,(a) prāṇavahasrotoduṣṭiḥ,प्राणवहस्रोतोदुष्टिः,,"It is characterized by severe restricted expiration, agitated expiration, slow expiration, frequent expiration, expiration with loud sound, expiration with pain. This may be explained by derangement of channels (functional or anatomical or both) enriching vital life force.",
464,471,SM74(EA-2),hikkA (hidhmA),(a) hikkā,हिक्का (हिध्मा),,"It is characterised by uncontrolled hiccoughs which may be associated with dryness of tongue, throat, bitter sensation in mouth and thirst. (a) Vitiation of Kindling vata, Descending vata.",
465,472,EA-2.1,hikkA-pUrvarUpam,,हिक्का-पूर्वरूपम्,,,
466,473,EA-2.2(SM74),mahatIhikkA,(a) mahatīhikkā                     (a) gambhīrāhikkā,महतीहिक्का,,,
467,474,EA-2.3(SM74),gamBIrAhikkA,(a) gambhīrāhikkā,गम्भीराहिक्का,,,
468,475,EA-2.4(SM74),vyapetAhikkA/yamalAhikkA,"(a) vyapetāhikkā,                   (a) yamalāhikkā",व्यपेताहिक्का/यमलाहिक्का,,,
469,476,EA-2.5(SM74),kShudrA hikkA,(a) kṣudrā hikkā,क्षुद्रा हिक्का,,,
470,477,EA-2.6,annajAhikkA,annajāhikkā,अन्नजाहिक्का,,"the disorder is characterized by śanaiḥ asambandhaṁ kṣuvaṁścāpi hikkatē/kṣavānugām [hiccough not related to anything, associtated with sneezing], hikkā pītē tathā bhuktē śamaṁ yāti/sātmyānnapānēna śamaṁ prayāti [hiccough decreased with drinking, eating/hiccough decreases with wholesome/suitable foods, liquids], hikkayati ūrdhvagaḥ [hiccough traversing upwards], arujām [painless], mandaśabdām [with little sound]",
471,478,EA-2.7,asAdhya-hikkA,asādhya-hikkā,असाध्य-हिक्का,,"the disorder is characterized by atisaṁcitadōṣaḥ [person having excessive accumulated dōṣa], bhaktacchēdakr̥śaḥ [emaciation due to anorexia], vyādhikṣīṇadēhaḥ [emaciation due to diseases], vr̥ddhaḥ [in elderly person], ativyavāyi [person indulging in excessive sexual acts], āyamyatē [feeling of stretching], kṣīṇaḥ [weak], annadviṭ [person having aversion towards food], atimātraṁ kṣauti [excessive sneezing], nityam ūrdhvadr̥ṣṭiḥ [upward gaze], nāmyatē [bending of the body], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], artiḥ [pain], mōhaḥ [semiconsciousness or stupefaction], tr̥ṣṇā [thirst]",
472,479,EA-2.8,hikkA-ariShTaH,hikkā-ariṣṭaḥ,हिक्का-अरिष्टः,,"the disorder is characterized by bhruvau cyutiḥ [drooping of eyebrows], dāruṇāntardāhaḥ [severe internal burning sensation]",
473,480,SL41(EA-3),kAsaH,(a) kāsaḥ,कासः,,It is characterised by cough. This may be explained by: (a) Vitiated kapha and vata affecting the respiratory channels.,
474,481,EA-3.1,kAsa-pUrvarUpam,kāsa-pūrvarūpam,कास-पूर्वरूपम्,,"the disorder is characterized by śūkapūrṇagalāsyatā/śūkapūrṇābhakaṇṭhatvam [feeling of throat as if filled with awn of barley], kaṇṭhē kaṇḍūḥ/kaṇṭhakaṇḍūḥ [itching], bhōjyānām avarōdhaḥ/bhōjyōparōdhaḥ [difficulty, deglutition or dysphagia], galatālulēpaḥ [coating], svaśabdavaiṣamyam [feeling our own voice different/odd], arōcakaḥ/aruciḥ [tastelessness], agnisādaḥ/agnimāndyaḥ [diminution of agni (digestive power)], asvāsthyaṁ hr̥dayasya [discomfort in the cardiac region/heart]",
475,482,EA-3.2,vAtajakAsaH,vātajakāsaḥ,वातजकासः,,"the disorder is characterized by hr̥cchūlam [pain in the precordium/cardiac region], pārśvaśūlam [pain in sides of chest/flanks], uraḥśūlam [pain chest], śiraḥśūlam/mūrdhaśūlam [headache], śaṅkhaśūlam [pain in temporal region], udaraśūlam [pain in the abdomen], svarabhēdaḥ/bhinnasvaraḥ [hoarseness of voice], śuṣkōraḥ [feeling of dryness in chest], śuṣkakaṇṭhaḥ [dryness of throat], śuṣkavaktraḥ [feeling of drynesss in mouth], kṣāmānanaḥ [anxious appearance of pain], hr̥ṣṭalōmnaḥ [having the hair of the body bristling or thrilling], pratāmyataḥ [loss of conciousness], nirghōṣaḥ [ratlling sound], dainyaḥ [apathy], stananaḥ [sound of hollow cough], daurbalyam/kṣīṇabalaḥ [diminution of strength], kṣīṇasvaraḥ/svarakṣayaḥ [diminution of voice], kṣīṇaujaḥ [diminution of vitality], kṣōbhaḥ [irritation in chest], mōhaḥ [confusion/delirium], śuṣkakāsaḥ [dry cough], śuṣkaṁ kaphaṁ kr̥cchrānmuktvā alpatāṁ vrajēt [dry phlegm is expelled out with difficulty and feels little better], prasaktam antaḥkapham [continually coughs till phlegm come out], prasaktavēgaḥ [constant cough], mahāvēgaḥ [with heavy bouts], rujā [pain], svanam [with noise], aṅgaharṣaḥ [horripilation]",
476,483,EA-3.3,pittajakAsaH,pittajakāsaḥ,पित्तजकासः,,"the disorder is characterized by pītaniṣṭhīvanam/pittasaṁsr̥ṣṭaṁ ślēṣmāṇaṁ niṣṭhīvati/pītakaphatā [mixed with pitta/phlegm mixed with pitta/yellow colured phlegm], pītākṣitvam [yellowishness of eyes], tiktāsyatvam/tiktamukhaḥ [bitter taste in mouth], svarāmayaḥ/vaisvaryam [changed voice], urōdhūmāyanam/dhūmakaḥ [smoky sensation /hotness in chest], tr̥ṣṇā/tr̥ṣā [thirst], dāhaḥ/paridahyamānaḥ [burning sensation], mōhaḥ [confusion/delirium], aruciḥ [tastelessness], bhramaḥ [giddiness or dizziness], pratataṁ kāsamānaḥ jyōtiṁṣīva paśyati/ pratataṁ kāsavēgēna jyōtiṣāmiva darśanam [person sees stars after continuous coughing/blackouts on contionuous coughing], urōvidāhaḥ [burning sensation in chest], jvaraḥ [fever], vaktraśōṣaḥ [dryness of mouth], pītāni kaṭūni vamēt [vomiting of yellowish pungent phlegm], pāṇḍuḥ [pallor], bhramaḥ [giddiness or dizziness], pittāsr̥k-vamanam [vomiting of pitta, blood], amlakaḥ [sour belching/eructation]",
477,484,EA-3.4,kaPajakAsaH,kaphajakāsaḥ,कफजकासः,,"the disorder is characterized by mandāgnitvam [diminution of agni], aruciḥ/abhaktaruk/arōcakaḥ [tastelessness/loss of appetite], chardiḥ [vomiting], pīnasaḥ [cold, catarrh], utklēśaḥ [nausea/provocation of dōṣa], gauravam [heaviness], lōmaharṣaḥ/rōmaharṣaḥ [horripilation], āsyamādhuryam [sweetness in mouth], klēdaḥ [moistening /soddening], saṁsadanam/sādayuktaḥ/sadanam [fatigue], bahulaṁ kaphaṁ niṣṭhīvati [cough with profuse phlegm], madhuraṁ kaphaṁ niṣṭhīvati [sweet taste of phlegm], snigdhaṁ kaphaṁ niṣṭhīvati/snigdhaślēṣmapravartanam [unctuous phlegm], ghanaślēṣmapravartanam [thick phlegm], śvētaślēṣmapravartanam [whitish phlegm], kāsamānō hi aruk/urōऽlparuk [little or no pain on coughing], vakṣaḥ saṁpūrṇamiva manyatē [feels as if whole chest is filled with phlegm], pralipyamānēna mukhēna sīdan [stickiness of the oral cavity], śirōrujā [headache], kaphapūrṇadēhaḥ [feels as if body is filled with phlegm], sāndrakaphaṁ kāsēta [thick compact phlegm], mūrdhaṁ stimitam [heaviness of head], kaṇṭhōpalēpaḥ [feeling of coating over throat], hr̥dayaṁ stimitam [feeling as if heart is wrapped with wet cloth], kaṇḍūḥ [itching]",
478,485,EA-3.5,kShatajakAsaH,kṣatajakāsaḥ,क्षतजकासः,,"the disorder is characterized by śuṣkaṁ kāsatē [dry cough], saśōṇitaṁ/saraktaṁ ṣṭhīvēt [sputum with blood], pītaṁ ṣṭhīvēt [spits yellow coloured sputum], śyāvaṁ ṣṭhīvēt [spits brown coloured sputum], śuṣkaṁ ṣṭhīvēt [dry cough], grathitaṁ ṣṭhīvēt [spits thick sputum], kuthitaṁ ṣṭhīvēt [spits puruent sputum], bahu ṣṭhīvēt [spits excessive sputum], kaṇṭharujā [pain in the throat], virugṇēnēva cōrasā/vibhinnēnēva cōrasā [pain in the chest], tīkṣṇābhiḥ sūcībhiriva śūlinā tudyamānaḥ [severe needle pricking type of pain], duḥkhasparśaḥ [pain on touch], śūlaḥ [sharp pain], bhēdaḥ [breaking type of pain], pīḍā [pain/annoyance], abhitāpaḥ [burning sensation], parvabhēdaḥ [breaking type of pain in small joints], jvaraḥ [fever], śvāsaḥ [breathlessness/difficult breathing], tr̥ṣṇā [thirst], vaisvaryam [changed voice], pārāvata iva kūjan [cooing as pigeon], viśliṣṭavakṣaḥ [severed/loosened chest], kampavān [with tremor], pārśvaśūlam [pain in sides of chest/flanks], kramād vīryaṁ hīyatē [gradual depletion of virility/semen], kramād ruciḥ hīyatē [gradual loss of taste], kramād paktā hīyatē [gradual loss of digestion/agni], kramād balaṁ hīyatē [gradual loss of physical strength], kramād varṇaḥ hīyatē [gradual loss of body lustre/complexion], asr̥ṅmūtratvam [urine with blood, blood colured urine], pr̥ṣṭhagrahaḥ [stiffness of back], kaṭīgrahaḥ [stiffness of lowback]",
479,486,EA-3.6,kShayajakAsaH,kṣayajakāsaḥ,क्षयजकासः,,"the disorder is characterized by dēhakṣayapradam/kṣīṇānāṁ dēhanāśanaḥ [emaciated], durgandhaṁ/visraṁ kaphaṁ ṣṭhīvēt [spits sputum with bad smell/smeeling like raw meat], haritaṁ kaphaṁ ṣṭhīvēt [spits green coloured sputum], raktaṁ kaphaṁ ṣṭhīvēt [spits sputum with blood], haritalōhitaṁ kaphaṁ ṣṭhīvēt [spits sputum with green colour and blood], pūyōpamaṁ/pūtipūyōpamaṁ kaphaṁ ṣṭhīvēt [spits sputum with pus/putrid sputum], pītaṁ kaphaṁ ṣṭhīvēt [spits sputum with yellow colour], utkāsamānaśca hr̥dayaṁ sthānāt cyutaṁ manyatē [feels as if heart is displaced from its site due to coughing], akasmāt uṣṇaśītārtaḥ [afflicted with sudden hot/cold], akasmāt uṣṇaśītēcchā [sudden desire for hot/cold], bahvāśitvam/bahvāśī [person with polyphagia], durbalaḥ [loss of physical strength or weakness], kr̥śaḥ [emaciated/thin /malnourished], snigdhācchamukhaḥ/snigdhaprasannavaktratvam [unctuous, clear face/unctuous, charming face], snigdhācchatvak [pleasant], śrīmaddarśanalōcanaḥ/śrīmaddarśananētratā [charming eyes,], ślakṣṇapāṇitalaḥ [glossiness of palms], ślakṣṇapādatalaḥ [glossiness of sole], satatāsuyakaḥ [always displeased], ghr̥ṇī [abusing others], jvaraḥ [fever], miśrākr̥tiḥ [dvandvaja type of jvara], pārśvaruk [pain in sides of chest/flanks], pīnasaḥ [cold, catarrh], aruciḥ [tastelessness], bhinnavarcastvam [passage of unformed (loose) feces], saṁhatavarcastvam [compact/formed stools], animittataḥ svarabhēdaḥ [hoarseness of voice without any reason], gātraśūlam [body pain], dāhaḥ [burning sensation], mōhaḥ [confusion/delirium], prāṇakṣayam upalabhēta [attains death], śuṣyan viniṣṭhīvati [spitting of pus and blood], prakṣīṇamāṁsaḥ [depletion/wasting of māṁsa], prakṣīṇarudhiraṁ sapūyam [depletion of rakta, with pus], lupyē(cyē)ta iva pārśvē [breaking /pain in flanks], hr̥dayaṁ patatīva [feels as if heart is displaced from its site due to coughing], balakṣayaḥ [loss of physical strength or weakness]",
480,487,EA-3.7,kAsa-upadravaH,kāsa-upadravaḥ,कास-उपद्रवः,,"the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], kṣayaḥ [consumption/tuberculosis], chardiḥ [vomiting], svarasādaḥ [loss of voice]",
481,488,EA-3.8,kAsa-ariShTaH,kāsa-ariṣṭaḥ,कास-अरिष्टः,,"the disorder is characterized by atisārō jvarō hikkā chardiḥ śūnāṇḍamēḍhratā [diarrhoea, fever, hiccup, vomiting, swelling of testis and penis], jvaraccharditr̥ṣṇātīsāraśōphinam [fever, vomiting, diarrhoea, thirst, swelling]",
482,489,SL42(EA-4),SvAsaH,(a) śvāsaḥ,श्वासः,,"It is characterised by pain and tightness in the chest, breathlessness. This may be explained by: (a) Obstruction to the channels of respiration by vata and kapha.",
483,490,EA-4.1,SvAsa-pUrvarUpam,śvāsa-pūrvarūpam,श्वास-पूर्वरूपम्,,"the disorder is characterized by ānāhaḥ [barborygmus with distention], pārśvaśūlam [pain in sides of chest/flanks], pīḍanaṁ hr̥dayasya/hr̥tpīḍā [pain in the cardiac region], hr̥cchūlam/śūlam [pain in the precordium/cardiac region], ādhmānam [abdominal distension], prāṇasya ca vilōmatvam/prāṇavilōmatā [reversion of the respirato/reverse direction of pranavāyu/inspiration?], bhaktadvēṣaḥ [aversion to food], aratiḥ parā [severe distress/dicontent/restlessness], vadanasya vairasyam [tastelessness], śaṅkhabhēdaḥ [breaking type of pain in temporal regions]",
484,491,EA-4.2,mahASvAsaH,mahāśvāsaḥ,महाश्वासः,,"the disorder is characterized by uccaiḥ śvasiti saṁrabdhō mattarṣabha ivāniśam / uddhūyamānaḥ saṁrabdhō mattarṣabha ivāniśam [takes deep respiration incessantly produce a sound just like an excited and restrained], uddhūyamānavātō yaḥ śabdavadduḥkhitō naraḥ [person on account of vāyu], pranaṣṭajñānavijñānaḥ [loss of knowledge, wisdom/conciousness], vibhrāntalōcanaḥ/vibhāntanayanaḥ [one who rolls the eyes or casts side glances], vibhrāntānanaḥ [confused face/wide open mouth], vikr̥tākṣi [distorted eyes/dilated eyes], vikr̥tānanaḥ [ugly faced], baddhamūtraḥ [retention of urine], baddhavarcaḥ [retained stool/contipation], viśīrṇavāk [shattered voice], dīnaḥ [timid or apathy], dūrāt vijñāyatē bhr̥śaṁ praśvasitam [dyspnoea is recognized from far distance also], niḥsaṁjñaḥ/muhurmuhyan [frequent fainting/unconsciousness], pārśvaśūlārtaḥ [pain in sides of chest/flanks], śuṣkakaṇṭhaḥ [dryness of throat], atighōṣavān [with high sound], saṁrabdhanētraḥ [bulging of eyes], āyamya yaḥ śvasyāt [stretching of body on breathing], mahatā nādēna śvasiti [breathing with high sound], krathan [snoring due to obstruction to respiration], vakṣaḥ samākṣipan [convulsive movement of chest], karṇātiruk [severe pain in ears], śaṅkhātiruk [severe pain in temporal region], śirōऽtiruk [severe pain in head]",
485,492,EA-4.3,UrdhvaSvAsaH,ūrdhvaśvāsaḥ,ऊर्ध्वश्वासः,,"the disorder is characterized by dīrghaṁ śvasiti yastūrdhvaṁ na ca pratyāharatyadhaḥ / dīrghaṁ ūrdhvaṁ śvasiti ūrdhvāt na ca pratyāharatyadhaḥ [not able to deep breathing, only shallow breathing], ūrdhvadr̥ṣṭirvipaśyan [his eyes turns upwards/upward gaze], vibhrāntākṣa itastataḥ/vīkṣatē bhrāntam akṣiṇī paritaḥ kṣipan [rolling of eyes in all directions], pramuhyan [fainting], vēdanārtaḥ/paridēvī [severe pain], śuṣkāsyaḥ (śuklāsyaḥ iti pāṭhabhēdaḥ) [dryness of mouth/whitishness of mouth], aratipīḍitaḥ [severe distress/dicontent/restlessness], ūrdhvaśvāsē prakupitē hi adhaḥśvāsō nirudhyatē [deep breathing is hampered due to shortness of breath], muhyataḥ/muhuśca mūḍhaḥ [fainting], tāmyataḥ [distressed], asūn hanti [leads to death], ūrdhvaprēkṣī/ūrdhvadr̥k [upward gaze], hataravaḥ/niruddhavāk [obstructed /suffocated voice]",
486,493,EA-4.4,CinnaSvAsaH,chinnaśvāsaḥ,छिन्नश्वासः,,"the disorder is characterized by ānāhaḥ/ādhmātaḥ/sānāhaḥ [barborygmus with distention], svēdārtaḥ/sasvēdaḥ [with perspiration], mūrcchārtaḥ/samūrcchaḥ [syncope/attacks of swooning], dahyamānēna bastinā/bastidāhaḥ [burning in the bladder], viplutākṣaḥ [confused dilated eyes], parikṣīṇaḥ śvasan [excessively weak respiration], raktaikalōcanaḥ [redness of one eye], vicētaḥ/vicētanaḥ [senseless/unconciousness], pariśuṣkāsyaḥ/śuṣkāsyaḥ [dryness of mouth], vivarṇaḥ [discolouration of face], pralapan [excess talking/irrelevant speech/incoherent speech], vicchinnaḥ (vimuktasandhibandhaḥ) [afflicted with (loosening of joints/ligaments)], sarujam/marmacchēdarujārditaḥ [with pain/pain due to affliction of marma- vital points], bastinirōdhavān [supression of urine], adhōdr̥k [downward gaze], muhyan [fainting], dīnaḥ [timid or apathy], naṣṭacchāyaḥ [loss of lustre/charm], vijahāti asūn/prajahāti asūn [leads to death]",
487,494,SL40(EA-4.5),tamakaSvAsaH,(a) tamakaśvāsaḥ,तमकश्वासः,,"It is characterised by difficult rapid respiration, tightness of chest,wheezing, cough with difficulty to expel sputum. This may be explained by: (a) Obstruction of respiratory passages due to vitiation of kapha and vata.",
488,495,EA-4.5.1(SL40),pratamakaSvAsaH,(a)pratamakaśvāsaḥ,प्रतमकश्वासः,,,
489,496,EA-4.5.2(SL40),santamakaSvAsaH,(a)santamakaśvāsaḥ,सन्तमकश्वासः,,,
490,497,EA-4.6,kShudraSvAsaH,,क्षुद्रश्वासः,,,
491,498,EA-4.7,SvAsa-upadrava,,श्वास-उपद्रव,,,
492,499,EA-4.8,SvAsa-ariShTaH,,श्वास-अरिष्टः,,,
493,500,SL03(EA-5),svaraBedaH,(a) svarabhedaḥ,स्वरभेदः,,"It is characterised by abnormal quality,pitch or volume of voice. This may be explained by: (a) Vitiated dosha affecting the speech faculties.",
494,501,EA-5.1,vAtajasvaraBedaH,,वातजस्वरभेदः,,,
495,502,EA-5.2,pittajasvaraBedaH,,पित्तजस्वरभेदः,,,
496,503,EA-5.3,kaPajasvaraBedaH,,कफजस्वरभेदः,,,
497,504,EA-5.4,sAnnipAtajasvaraBedaH,,सान्निपातजस्वरभेदः,,,
498,505,EA-5.5,kShayajasvaraBedaH,,क्षयजस्वरभेदः,,,
