namaste_code,namaste_term,namaste_terms,icd_code,icd_description
BA-3,ArtavavaiShamyam,ArtavavaiShamyam,1A00,Cholera
SR4K(BA-3.1),ArtavakShayaH,"It is characterized by menstruation not on proper time, metrorrhagia, scanty menstrual flow, pain in vagina. This may be explained by decrease in circulating fluid in turn causing quantitative decrease of menstrual flow. ArtavakShayaH",GA81,Dysmenorrhoea
SR4J(BA-3.2),ArtavavRuddhiH,"It is characterized by generalised bodyache, excessive menstrual bleeding, menorrhagia, bad odour. This may be explained by increase in circulating fluid in turn causing quantitative increase of menstrual flow. ArtavavRuddhiH",GA82,Menorrhagia
BA-4,stanyavaiShamyam,stanyavaiShamyam,1A00,Cholera
SN10(BA-4.1),stanyakShayaH,It is characterised by decreased or cessation of secretion of breast milk may be associated with decreased size of the breast. This may be explained by: (a) Aggravation of vatadosha and decreased primary product of digested food resulting in reduced breast milk production. stanyakShayaH,2C60,Malignant Neoplasm of Breast
SR4L(BA-4.2),stanyavRuddhiH,"It is characterized by fully extended, large breast, frequent lactation, pricking pain. This may be explained by increase in circulating fluid in turn causing quantitative increase of breast milk. stanyavRuddhiH",2C60,Malignant Neoplasm of Breast
SP93(BH),ojovaiShamyam,It is characterised by overall decrease of health leading to impaired immunity resulting in susceptibility to disease. This may be explained by: (a) Ojas gets vitiated by dosha and affecting the whole body. ojovaiShamyam,5B80,Obesity
SR4F(BH-1),ojakShayaH,"It is characterized by fear, loss of physical strength or weakness, constantly thinking, distressed sense organs, sense organs not able to perform properly, diminished complexion, lack mental strength, dry, wasted, dried up, emaciated, syncope, attacks of swooning, extreme wasting of muscles, diminution of muscle mass, confusion, delirium, excess talking, irrelevant speech, incoherent speech, death. This may be explained by morbid decrease (quantitative) of ojas and consequent physiological and pathological ramifications. ojakShayaH",1E90,Rabies
SR4H(BH-2),oja-visraMsaH,"It is characterized by loosening, dislocation of joints, exhaustion or tiredness of body, depletion of dosha, suppression of activities. This may be explained by unwarranted movement of ojas from intended normal location(s) resulting in morbidity. oja-visraMsaH",MG22,Fatigue / Malaise
SR4G(BH-3),oja-vyApat,"It is characterized by stiffness of the body, heaviness of limbs, swelling caused by vāta, discoloration of the skin; fatigued mind and body, drowsiness, lassitude, sleep. This may be explained by altered, detrimental changes (qualitative) of ojas resulting in consequent physiological and pathological ramifications. oja-vyApat",5B80,Obesity
SP5B (BI),rAjayakShmA,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues. rAjayakShmA",2B60,Malignant Neoplasm of Stomach
BI-1,rAjayakShmA-pUrvarUpam,rAjayakShmA-pUrvarUpam,1A00,Cholera
BI-2,sAhasaja-rAjayakShmA,sAhasaja-rAjayakShmA,1A00,Cholera
SN45(CC-2),vegarodhaja-rAjayakShmA,It is characterised by excessive sweating. This may be explained by: (a) Increased pittadosha. vegarodhaja-rAjayakShmA,BA41,Acute Myocardial Infarction
BI-3,viShamASanaja-rAjayakShmA,"the disorder is characterized by pratiśyāyam [cold, catarrh], kāsaḥ [cough], svarabhēdam [hoarseness of voice], arōcakam [tastelessness], pārśvaśūlam [pain in sides of chest/flanks], śiraḥśūlam [headache], jvaraḥ [fever], aṁsāvamardanam [crushing type of pain in shoulders], aṅgamardaḥ [generalised bodyache], muhuśchardiḥ [frequent vomiting], varcōbhēdam [diarrhoea/loose motions], purīṣaśōṣaḥ [depletion of purisha/feces], kaṇṭhāvadhamanam [irritation in the throat], urō'vadhamanam [irritation in chest], śvāsam [breathlessness/difficult breathing] viShamASanaja-rAjayakShmA",CA20,Acute Bronchitis
BI-4,kShayaja-rAjayakShmA,"the disorder is characterized by pratiśyāyam [cold, catarrh], prasēkam [exessive salivation], kāsaḥ [cough], chardim [vomiting], arōcakam [tastelessness], jvaram [fever], aṁsābhitāpam [burning sensation in shoulders/scapula], chardanaṁ rudhirasya [hemoptysis], pārśvaśūlam/pārśvasaṁrujam [pain in sides of chest/flanks], śiraḥśūlam [headache], svarabhēdam [hoarseness of voice], śūlam [colicky pain in the abdomen], aṅgamardaḥ [generalised bodyache], kaṇṭhōddhvaṁsanam [hoarseness of voice], aṁsāvamardam [crushing type of pain in shoulders], atīsāram [diarrhoea], antardāham [burning sensation inside the body], śirasō gurutvam [heaviness of the head], uraḥkṣatam [traumatic chest/pulmonary trauma], daurbalyam [weakness] kShayaja-rAjayakShmA",DA00,Gastritis
BI-5,vyavAyajanyarAjayakShmA,"the disorder is characterized by sandhiśaithilyam [dislocation of joint/lax joints], raukṣyam [dryness], pratiśyāyam [cold, catarrh], jvaram [fever], kāsaḥ [cough], aṅgamardaḥ [generalised bodyache], śirōrujam [headache], śvāsam [breathlessness/difficult breathing], viḍbhēdam [altered stools/loose motions], arucim/arōcakam [tastelessness], pārśvaśūlam [pain in sides of chest/flanks], svarakṣayam [diminution of voice/loss of voice], aṁsasantāpam [burning sensation in shoulders/scapular region], daurbalyam [weakness], pariśōṣayati māṁsaśōṇitē [depletion /drying up of mamsa/rakta], aṁsāvamardam [crushing type of pain in shoulders], kaṇṭhōddhvaṁsanam [hoarseness of voice], avipākam [delayed digestion/indigestion], śvāsam [breathlessness/difficult breathing], svarabhēdam [hoarseness of voice], uraḥkṣatam [traumatic chest/pulmonary trauma], śōṇitaṁ ṣṭhīvati [hemoptysis] vyavAyajanyarAjayakShmA",1D81,COVID-19
BI-6,SoShajanyarAjayakShmA,"the disorder is characterized by pāṇḍudēhaḥ [pallor], śukrakṣayaliṅgāni [signs of depletion of śukra dhātu], yathāpūrvadhātukṣayaliṅgāni [depletion of earlier dhātu] SoShajanyarAjayakShmA",3B00,Haemolytic Anaemia
BI-7,SokajanyarAjayakShmA,SokajanyarAjayakShmA,1A00,Cholera
BI-8,vArdhakyajanyarAjayakShmA/jarASoShaH,"the disorder is characterized by pradhyānaśīlaḥ [always in thoughtful mood], srastāṅgaḥ [flaccidity/laxity], pāṇḍudēhaḥ [pallor] vArdhakyajanyarAjayakShmA/jarASoShaH",3B00,Haemolytic Anaemia
BI-9,vyAyAmajanyarAjayakShmA,"the disorder is characterized by kr̥śaḥ [emaciated/thin /malnourished], mandavīryaḥ [having little virility/energy], mandabuddhiḥ [mental dullness/stupid], mandabalam [reduced physical strength], indriyamandatā [decreased ability of sense organs], kampaḥ [tremors], aruciḥ/arucipīḍitaḥ [tastelessness/afflicted with tastelessness], bhinnakāṁsyapātrahatasvaraḥ [voice resembles the sound produced by a crackled bell metal pot], ślēṣmaṇā hīnaṁ ṣṭhīvati [spits minimal phlegm], gauravapīḍitaḥ [afflicted with heaviness], saṁprasrutāsyam [watery discarge from the mouth], saṁprasrutanāsā [watery discarge from the nose], saṁprasrutākṣiḥ [watery discharge from eyes], suptarūkṣachaviḥ/śuṣkarūkṣachaviḥ [dull appearance], rūkṣamalaḥ/śuṣkarūkṣamalaḥ [passes dry faeces], aratipīḍitaḥ [severe distress/dicontent/restlessness] vyAyAmajanyarAjayakShmA",1A00,Cholera
BI-10,adhvajanya-rAjayakShmA/SoSha,"the disorder is characterized by urōruk [pain in the chest], śōṇitacchardiḥ [haematemesis], vaiśēṣikaḥ kāsaḥ [typical type of or excessive cough], saraktamūtratvam [haematuria], pārśvagrahaḥ [stiffness in sides of chest], pr̥ṣṭhagrahaḥ [stiffness of back], kaṭigrahaḥ [stiffness of the lumbar region/lowback], uraḥkṣataliṅgāni (kṣatādvinā) [clinical features of traumatic chest/pulmonary trauma (consumption) without injury] adhvajanya-rAjayakShmA/SoSha",FA24,Lumbar Spondylosis
BI-11,vraNajanyarAjayakShmA,"the disorder is characterized by srastāṅgaḥ [flaccidity/laxity], saṁbhr̥ṣṭaparuṣacchaviḥ [fading colour], prasuptagātrāvayavaḥ [numbness of limbs], śuṣkaklōmagalānanaḥ [dryness of klōma, throat, face] vraNajanyarAjayakShmA",MG40,Oedema / Swelling
BI-12,uraHkShatajanyarAjayakShmA,"the disorder is characterized by raktakṣayaḥ [diminution of rakta], vēdanā [pain] uraHkShatajanyarAjayakShmA",1E30,Dengue Fever
BI-13,vAtikarAjayakShmA,"the disorder is characterized by urasi kṣatē raktaṁ gacchati [blood discharge from traumatic chest/pulmonary trauma], urasi kṣatē pūyaḥ gacchati [pus discharge from traumatic chest /pulmonary trauma], urasi kṣatē ślēṣmā gacchati [mucus discharge from traumatic chest/pulmonary trauma], kāsamānaśchardayēt pītam [yellowish expectoration while coughing], kāsamānaśchardayēt raktam [expectoration of blood while coughing], kāsamānaśchardayēt asitam [blackish expectorant while coughing], kāsamānaśchardayēt aruṇam [reddish brown coloured expectorant while coughing], santaptavakṣāḥ [chest is felt to be warm/hot], atyarthaṁ dūyanātparitāmyati [faints due to exessive pain], durgandhavadanaḥ [foul odour from mouth/hallitosis], durgandhōcchvāsaḥ [foul odour emitted from breath], bhinnavarṇaḥ [altered colour/complexion of body], bhinnasvaraḥ [hoarseness of voice] vAtikarAjayakShmA",1B10,Tuberculosis of Lung
BI-14,paittikarAjayakShmA,"the disorder is characterized by svarabhēdaḥ [hoarseness of voice/any defect in speaking], aṁsayōḥ śūlam [pain in shoulders], pārśvayōḥ śūlam [pain in sides of chest/flanks], aṁsayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of shoulders], pārśvayōḥ saṁkōcaḥ/saṁlōcaḥ [contraction of flanks], śiraḥśūlam [headache], aṁsamardanam [crushing type of pain in shoulders], aṅgamardaḥ [generalised bodyache], kaṇṭhōddhvaṁśaḥ [hoarseness of voice], svarabhraṁśaḥ [altered voice] paittikarAjayakShmA",MG32,Headache Disorder
BI-15,kaPajarAjayakShmA,"the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], raktasya āgamaḥ/asr̥kcchardiḥ [haemoptysis], atisāraḥ [diarrhoea], pādadāhaḥ [burning in feet], aṁsadāhaḥ [burning in shoulders], pāṇidāhaḥ [burning in palms], mukhagandhaḥ [bad smell of the mouth], madaḥ [intoxication] kaPajarAjayakShmA",8E00,Peripheral Neuropathy
BI-16,yakShmajajvaraH,"the disorder is characterized by chardiḥ [vomiting], mūrdhagauravam [heaviness of head], aṅgagauravam [heaviness in the body], prasēkaḥ [excessive salivation], pīnasaḥ [cold, catarrh], śvāsaḥ [breathlessness/difficult breathing], svarasādaḥ [loss of voice], alpavahnitā [diminution of agni/reduced digestive power] yakShmajajvaraH",1D81,COVID-19
BI-17,yakShmajaSiraHSUlaH,yakShmajaSiraHSUlaH,1A00,Cholera
BI-18,asAdhya-rAjayakShmA/asAdhyaSoSha,asAdhya-rAjayakShmA/asAdhyaSoSha,1A00,Cholera
BI-19,cikitsya-rAjayakShmA,"the disorder is characterized by mahāśanam [eats more quantity food], kṣīyamāṇam [debilitated], atisāranipīḍitam [afflicted with diarrhoea], śūnamuṣkam [swelling of scrotum], śūnōdaram [enlargement/swelling of abdomen], śuklākṣam [whitish discolouration of eyes], annadvēṣṭāram [person having aversion towards food], ūrdhvaśvāsanipīḍitam [afflicted with shortness of breathing], kr̥cchrēṇa bahumēhantam [polyuria with dysuria] cikitsya-rAjayakShmA",DA94,Diarrhoeal Disease
BI-20,rAjayakShmA-upadravaH,"the disorder is characterized by jvarānubandharahitam [not associated with fever], balavantam [having physical strength], kriyāsaham [able to do activities/ableto sustain treatment procedures], ātmavantam [self control], dīptāgnim [having agni well kindled i.e. digesting well], akr̥śam [not emaciated] rAjayakShmA-upadravaH",MG20,Fever of Unknown Origin
BI-21,yakShmA-ariShTaH,"the disorder is characterized by kaṇṭhōddhvaṁsaḥ [hoarseness of voice], urōrujam [pain in the chest], jr̥mbhā [yawning], aṅgamardaḥ [generalised bodyache], niṣṭhīvaḥ [expectoration of sputum/spitting], vahnisādaḥ [diminution of agni], āsyapūtitā [putridness of mouth] yakShmA-ariShTaH",CA80,Pneumonia
BI-22,atikArSyam,"the disorder is characterized by aṁsābhitāpaḥ/aṁsatāpaḥ [burning sensation in shoulders/scapula], hikkā [hiccup], śōṇitacchardiḥ/raktacchardiḥ [vomiting of blood], ānāhaḥ [barborygmus with distention], pārśvarujā/pārśvaśūlam [pain in sides of chest/flanks] atikArSyam",DA00,Gastritis
BJ,malavaiShamyam,malavaiShamyam,1A00,Cholera
C,mUtravaiShamyam,mUtravaiShamyam,1A00,Cholera
CA,mUtrakShayaH,mUtrakShayaH,1A00,Cholera
SR83 (CA-1),mUtravRuddhiH,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations. mUtravRuddhiH",GB00,Urinary Tract Infection
SR82(CA-2),purIShavaiShamyam,"It is characterized by frequent micturition, pricking pain in urinary bladder, abdominal distension, feeling of urge even after micturition. This may be explained by abnormal increase in urine production resulting in local and systemic manifestations. purIShavaiShamyam",GB00,Urinary Tract Infection
CB,purIShakShayaH,purIShakShayaH,1A00,Cholera
SR81 (CB-1),purIShavRuddhiH,"It is characterized by gripping type of pain (colic), pain in the pericardial region, angina pectoris, pain in flanks, reverse intestinal movement of vāta associated with sound, oblique movement of vāta with sound in abdomen, increased bowel movements in flanks, less quantity of faeces. This may be explained by abnormal decrease in fecal production resulting in local and systemic manifestations. purIShavRuddhiH",DA23,Duodenal Ulcer
SR80(CB-2),sAmamalaH,"It is characterized by gurgling sound in flanks, heaviness and enlargement of abdomen. Gurgling sound in flanks to be changed to gurgling sounds in abdomen. This may be explained by abnormal accumulation of feces resulting in local and systemic manifestations. sAmamalaH",ME03,Hernia
SR86(CB-3),svedavaiShamyam,"It is characterized by obstruction in channels, diminution of physical strength, heaviness, lethargy, indigestion, spitting out, obstruction to passage of faeces, tastelessness and exhaustion without exertion. This may be explained by consequences incompletely formed stools due to diminished digestive fire. svedavaiShamyam",MG22,Fatigue / Malaise
CC,svedakShayaH,svedakShayaH,1A00,Cholera
SR85(CC-1),svedavRuddhiH,"It is characterized by stiff, rigid body hairs, wasting, contracture of skin, impaired touch perception, loss of perspiration, hair fall, tearing, cracking of skin, numbness of skin, hardness, roughness of skin. This may be explained by abnormal decrease in sweat production resulting in local and systemic manifestations. svedavRuddhiH",EA80,Vitiligo
CZ-1,jihvAmUlagatamalaH,jihvAmUlagatamalaH,1A00,Cholera
SS10(D),agnivaiShamyam,It is characterized by derangement of digestive power. This may be explained by vitiation of digestive fire in turn resulting in local and systemic effects. agnivaiShamyam,NF00,Burn Injury
SS15(DA),AmadoShaH,"It is characterized by reduced body strength, heaviness of the body, reduced digestive power, lethargy, indigestion, expectoration, tastelessness, feeling of weakness even without exertion. This may be explained by vitiation of digestive fire in turn resulting incomplete digestion or metabolism resulting in a suspended state of physiological processes and consequent pathologies. AmadoShaH",5B80,Obesity
DA-1,asAdhya-AmadoShaH,asAdhya-AmadoShaH,1A00,Cholera
DB,jaTharAgnivikAraH,jaTharAgnivikAraH,1A00,Cholera
DB-1,mandAgniH/ agnisAda,mandAgniH/ agnisAda,1A00,Cholera
SS13(DB-1.1),mandAgni-ariShTaH,It is characterized by delayed digestion of food. This may be explained by vitiation of digestive fire in turn resulting delaying digestion and metabolism. mandAgni-ariShTaH,NF00,Burn Injury
SS11(DB-2),viShamAgniH,It is characterized by irregular digestion irrespective of quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting in erratic behavour of digestive system. viShamAgniH,4A40,Autoimmune Disease
SS12(DB-3),tIkShNAgniH,It is characterized by quick digestion of varied quantity and quality of food. This may be explained by vitiation of digestive fire in turn resulting quickening digestion and metabolism. tIkShNAgniH,NF00,Burn Injury
SS14(DB-4),atyagniH/BasmakaH,"It is characterized by severly increased state of digestive power leading to quick digestion of food despite of frequent and extra quantity intake. If food is not taken, leads to digestion of body tissues leading to weakness, succumbs to death, may be associated with thirst, difficulty in breathing, burning sensation, syncope, burning sensation in throat, palate, lips at the end of digestion. This may be explained by morbid increase of the digestive fire resulting accelerated metabolism to the extent that the tissues are also get affected. atyagniH/BasmakaH",8E00,Peripheral Neuropathy
SR5Z€,srotovaiShamyam,srotovaiShamyam,1A00,Cholera
EA,prANavahasrotovikAraH,prANavahasrotovikAraH,1A00,Cholera
SR57(EA-1),prANavahasrotoduShTiH,"It is characterized by severe restricted expiration, agitated expiration, slow expiration, frequent expiration, expiration with loud sound, expiration with pain. This may be explained by derangement of channels (functional or anatomical or both) enriching vital life force. prANavahasrotoduShTiH",8A20,Migraine
SM74(EA-2),hikkA (hidhmA),"It is characterised by uncontrolled hiccoughs which may be associated with dryness of tongue, throat, bitter sensation in mouth and thirst. (a) Vitiation of Kindling vata, Descending vata. hikkA (hidhmA)",CA08,Acute Pharyngitis
EA-2.1,hikkA-pUrvarUpam,hikkA-pUrvarUpam,1A00,Cholera
EA-2.2(SM74),mahatIhikkA,mahatIhikkA,1A00,Cholera
EA-2.3(SM74),gamBIrAhikkA,gamBIrAhikkA,1A00,Cholera
EA-2.4(SM74),vyapetAhikkA/yamalAhikkA,vyapetAhikkA/yamalAhikkA,1A00,Cholera
EA-2.5(SM74),kShudrA hikkA,kShudrA hikkA,1A00,Cholera
EA-2.6,annajAhikkA,"the disorder is characterized by śanaiḥ asambandhaṁ kṣuvaṁścāpi hikkatē/kṣavānugām [hiccough not related to anything, associtated with sneezing], hikkā pītē tathā bhuktē śamaṁ yāti/sātmyānnapānēna śamaṁ prayāti [hiccough decreased with drinking, eating/hiccough decreases with wholesome/suitable foods, liquids], hikkayati ūrdhvagaḥ [hiccough traversing upwards], arujām [painless], mandaśabdām [with little sound] annajAhikkA",GC70,Erectile Dysfunction
EA-2.7,asAdhya-hikkA,"the disorder is characterized by atisaṁcitadōṣaḥ [person having excessive accumulated dōṣa], bhaktacchēdakr̥śaḥ [emaciation due to anorexia], vyādhikṣīṇadēhaḥ [emaciation due to diseases], vr̥ddhaḥ [in elderly person], ativyavāyi [person indulging in excessive sexual acts], āyamyatē [feeling of stretching], kṣīṇaḥ [weak], annadviṭ [person having aversion towards food], atimātraṁ kṣauti [excessive sneezing], nityam ūrdhvadr̥ṣṭiḥ [upward gaze], nāmyatē [bending of the body], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], artiḥ [pain], mōhaḥ [semiconsciousness or stupefaction], tr̥ṣṇā [thirst] asAdhya-hikkA",5A10,Type 1 Diabetes Mellitus
EA-2.8,hikkA-ariShTaH,"the disorder is characterized by bhruvau cyutiḥ [drooping of eyebrows], dāruṇāntardāhaḥ [severe internal burning sensation] hikkA-ariShTaH",8E00,Peripheral Neuropathy
SL41(EA-3),kAsaH,It is characterised by cough. This may be explained by: (a) Vitiated kapha and vata affecting the respiratory channels. kAsaH,CB01,Chronic Obstructive Pulmonary Disease
EA-3.1,kAsa-pUrvarUpam,"the disorder is characterized by śūkapūrṇagalāsyatā/śūkapūrṇābhakaṇṭhatvam [feeling of throat as if filled with awn of barley], kaṇṭhē kaṇḍūḥ/kaṇṭhakaṇḍūḥ [itching], bhōjyānām avarōdhaḥ/bhōjyōparōdhaḥ [difficulty, deglutition or dysphagia], galatālulēpaḥ [coating], svaśabdavaiṣamyam [feeling our own voice different/odd], arōcakaḥ/aruciḥ [tastelessness], agnisādaḥ/agnimāndyaḥ [diminution of agni (digestive power)], asvāsthyaṁ hr̥dayasya [discomfort in the cardiac region/heart] kAsa-pUrvarUpam",CA20,Acute Bronchitis
EA-3.2,vAtajakAsaH,"the disorder is characterized by hr̥cchūlam [pain in the precordium/cardiac region], pārśvaśūlam [pain in sides of chest/flanks], uraḥśūlam [pain chest], śiraḥśūlam/mūrdhaśūlam [headache], śaṅkhaśūlam [pain in temporal region], udaraśūlam [pain in the abdomen], svarabhēdaḥ/bhinnasvaraḥ [hoarseness of voice], śuṣkōraḥ [feeling of dryness in chest], śuṣkakaṇṭhaḥ [dryness of throat], śuṣkavaktraḥ [feeling of drynesss in mouth], kṣāmānanaḥ [anxious appearance of pain], hr̥ṣṭalōmnaḥ [having the hair of the body bristling or thrilling], pratāmyataḥ [loss of conciousness], nirghōṣaḥ [ratlling sound], dainyaḥ [apathy], stananaḥ [sound of hollow cough], daurbalyam/kṣīṇabalaḥ [diminution of strength], kṣīṇasvaraḥ/svarakṣayaḥ [diminution of voice], kṣīṇaujaḥ [diminution of vitality], kṣōbhaḥ [irritation in chest], mōhaḥ [confusion/delirium], śuṣkakāsaḥ [dry cough], śuṣkaṁ kaphaṁ kr̥cchrānmuktvā alpatāṁ vrajēt [dry phlegm is expelled out with difficulty and feels little better], prasaktam antaḥkapham [continually coughs till phlegm come out], prasaktavēgaḥ [constant cough], mahāvēgaḥ [with heavy bouts], rujā [pain], svanam [with noise], aṅgaharṣaḥ [horripilation] vAtajakAsaH",CA20,Acute Bronchitis
EA-3.3,pittajakAsaH,"the disorder is characterized by pītaniṣṭhīvanam/pittasaṁsr̥ṣṭaṁ ślēṣmāṇaṁ niṣṭhīvati/pītakaphatā [mixed with pitta/phlegm mixed with pitta/yellow colured phlegm], pītākṣitvam [yellowishness of eyes], tiktāsyatvam/tiktamukhaḥ [bitter taste in mouth], svarāmayaḥ/vaisvaryam [changed voice], urōdhūmāyanam/dhūmakaḥ [smoky sensation /hotness in chest], tr̥ṣṇā/tr̥ṣā [thirst], dāhaḥ/paridahyamānaḥ [burning sensation], mōhaḥ [confusion/delirium], aruciḥ [tastelessness], bhramaḥ [giddiness or dizziness], pratataṁ kāsamānaḥ jyōtiṁṣīva paśyati/ pratataṁ kāsavēgēna jyōtiṣāmiva darśanam [person sees stars after continuous coughing/blackouts on contionuous coughing], urōvidāhaḥ [burning sensation in chest], jvaraḥ [fever], vaktraśōṣaḥ [dryness of mouth], pītāni kaṭūni vamēt [vomiting of yellowish pungent phlegm], pāṇḍuḥ [pallor], bhramaḥ [giddiness or dizziness], pittāsr̥k-vamanam [vomiting of pitta, blood], amlakaḥ [sour belching/eructation] pittajakAsaH",CA20,Acute Bronchitis
EA-3.4,kaPajakAsaH,"the disorder is characterized by mandāgnitvam [diminution of agni], aruciḥ/abhaktaruk/arōcakaḥ [tastelessness/loss of appetite], chardiḥ [vomiting], pīnasaḥ [cold, catarrh], utklēśaḥ [nausea/provocation of dōṣa], gauravam [heaviness], lōmaharṣaḥ/rōmaharṣaḥ [horripilation], āsyamādhuryam [sweetness in mouth], klēdaḥ [moistening /soddening], saṁsadanam/sādayuktaḥ/sadanam [fatigue], bahulaṁ kaphaṁ niṣṭhīvati [cough with profuse phlegm], madhuraṁ kaphaṁ niṣṭhīvati [sweet taste of phlegm], snigdhaṁ kaphaṁ niṣṭhīvati/snigdhaślēṣmapravartanam [unctuous phlegm], ghanaślēṣmapravartanam [thick phlegm], śvētaślēṣmapravartanam [whitish phlegm], kāsamānō hi aruk/urōऽlparuk [little or no pain on coughing], vakṣaḥ saṁpūrṇamiva manyatē [feels as if whole chest is filled with phlegm], pralipyamānēna mukhēna sīdan [stickiness of the oral cavity], śirōrujā [headache], kaphapūrṇadēhaḥ [feels as if body is filled with phlegm], sāndrakaphaṁ kāsēta [thick compact phlegm], mūrdhaṁ stimitam [heaviness of head], kaṇṭhōpalēpaḥ [feeling of coating over throat], hr̥dayaṁ stimitam [feeling as if heart is wrapped with wet cloth], kaṇḍūḥ [itching] kaPajakAsaH",CA20,Acute Bronchitis
EA-3.5,kShatajakAsaH,"the disorder is characterized by śuṣkaṁ kāsatē [dry cough], saśōṇitaṁ/saraktaṁ ṣṭhīvēt [sputum with blood], pītaṁ ṣṭhīvēt [spits yellow coloured sputum], śyāvaṁ ṣṭhīvēt [spits brown coloured sputum], śuṣkaṁ ṣṭhīvēt [dry cough], grathitaṁ ṣṭhīvēt [spits thick sputum], kuthitaṁ ṣṭhīvēt [spits puruent sputum], bahu ṣṭhīvēt [spits excessive sputum], kaṇṭharujā [pain in the throat], virugṇēnēva cōrasā/vibhinnēnēva cōrasā [pain in the chest], tīkṣṇābhiḥ sūcībhiriva śūlinā tudyamānaḥ [severe needle pricking type of pain], duḥkhasparśaḥ [pain on touch], śūlaḥ [sharp pain], bhēdaḥ [breaking type of pain], pīḍā [pain/annoyance], abhitāpaḥ [burning sensation], parvabhēdaḥ [breaking type of pain in small joints], jvaraḥ [fever], śvāsaḥ [breathlessness/difficult breathing], tr̥ṣṇā [thirst], vaisvaryam [changed voice], pārāvata iva kūjan [cooing as pigeon], viśliṣṭavakṣaḥ [severed/loosened chest], kampavān [with tremor], pārśvaśūlam [pain in sides of chest/flanks], kramād vīryaṁ hīyatē [gradual depletion of virility/semen], kramād ruciḥ hīyatē [gradual loss of taste], kramād paktā hīyatē [gradual loss of digestion/agni], kramād balaṁ hīyatē [gradual loss of physical strength], kramād varṇaḥ hīyatē [gradual loss of body lustre/complexion], asr̥ṅmūtratvam [urine with blood, blood colured urine], pr̥ṣṭhagrahaḥ [stiffness of back], kaṭīgrahaḥ [stiffness of lowback] kShatajakAsaH",1B10,Tuberculosis of Lung
EA-3.6,kShayajakAsaH,"the disorder is characterized by dēhakṣayapradam/kṣīṇānāṁ dēhanāśanaḥ [emaciated], durgandhaṁ/visraṁ kaphaṁ ṣṭhīvēt [spits sputum with bad smell/smeeling like raw meat], haritaṁ kaphaṁ ṣṭhīvēt [spits green coloured sputum], raktaṁ kaphaṁ ṣṭhīvēt [spits sputum with blood], haritalōhitaṁ kaphaṁ ṣṭhīvēt [spits sputum with green colour and blood], pūyōpamaṁ/pūtipūyōpamaṁ kaphaṁ ṣṭhīvēt [spits sputum with pus/putrid sputum], pītaṁ kaphaṁ ṣṭhīvēt [spits sputum with yellow colour], utkāsamānaśca hr̥dayaṁ sthānāt cyutaṁ manyatē [feels as if heart is displaced from its site due to coughing], akasmāt uṣṇaśītārtaḥ [afflicted with sudden hot/cold], akasmāt uṣṇaśītēcchā [sudden desire for hot/cold], bahvāśitvam/bahvāśī [person with polyphagia], durbalaḥ [loss of physical strength or weakness], kr̥śaḥ [emaciated/thin /malnourished], snigdhācchamukhaḥ/snigdhaprasannavaktratvam [unctuous, clear face/unctuous, charming face], snigdhācchatvak [pleasant], śrīmaddarśanalōcanaḥ/śrīmaddarśananētratā [charming eyes,], ślakṣṇapāṇitalaḥ [glossiness of palms], ślakṣṇapādatalaḥ [glossiness of sole], satatāsuyakaḥ [always displeased], ghr̥ṇī [abusing others], jvaraḥ [fever], miśrākr̥tiḥ [dvandvaja type of jvara], pārśvaruk [pain in sides of chest/flanks], pīnasaḥ [cold, catarrh], aruciḥ [tastelessness], bhinnavarcastvam [passage of unformed (loose) feces], saṁhatavarcastvam [compact/formed stools], animittataḥ svarabhēdaḥ [hoarseness of voice without any reason], gātraśūlam [body pain], dāhaḥ [burning sensation], mōhaḥ [confusion/delirium], prāṇakṣayam upalabhēta [attains death], śuṣyan viniṣṭhīvati [spitting of pus and blood], prakṣīṇamāṁsaḥ [depletion/wasting of māṁsa], prakṣīṇarudhiraṁ sapūyam [depletion of rakta, with pus], lupyē(cyē)ta iva pārśvē [breaking /pain in flanks], hr̥dayaṁ patatīva [feels as if heart is displaced from its site due to coughing], balakṣayaḥ [loss of physical strength or weakness] kShayajakAsaH",1B10,Tuberculosis of Lung
EA-3.7,kAsa-upadravaH,"the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], kṣayaḥ [consumption/tuberculosis], chardiḥ [vomiting], svarasādaḥ [loss of voice] kAsa-upadravaH",1D81,COVID-19
EA-3.8,kAsa-ariShTaH,"the disorder is characterized by atisārō jvarō hikkā chardiḥ śūnāṇḍamēḍhratā [diarrhoea, fever, hiccup, vomiting, swelling of testis and penis], jvaraccharditr̥ṣṇātīsāraśōphinam [fever, vomiting, diarrhoea, thirst, swelling] kAsa-ariShTaH",1A00,Cholera
